Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;23;28;55;12;20.7;3.6;7.3;0.485;0.5;2;0.269;3;5.4;0.564;0.521;1.6;2.3;0.702;1.8;4.1;6;0.9;0.6;0.5;1.1;1.9;9.2
2;Steven Adams;C;29;15;42;42;27;3.7;6.3;0.597;0;0;0;3.7;6.2;0.599;0.597;1.1;3.1;0.364;5.1;6.5;11.5;2.3;0.9;1.1;1.9;2.3;8.6
3;Bam Adebayo;C;25;16;75;75;34.6;8;14.9;0.54;0;0.2;0.083;8;14.7;0.545;0.541;4.3;5.4;0.806;2.5;6.7;9.2;3.2;1.2;0.8;2.5;2.8;20.4
4;Ochai Agbaji;SG;22;29;59;22;20.5;2.8;6.5;0.427;1.4;3.9;0.355;1.4;2.7;0.532;0.532;0.9;1.2;0.812;0.7;1.3;2.1;1.1;0.3;0.3;0.7;1.7;7.9
5;Santi Aldama;PF;22;15;77;20;21.8;3.2;6.8;0.47;1.2;3.5;0.353;2;3.4;0.591;0.56;1.4;1.9;0.75;1.1;3.7;4.8;1.3;0.6;0.6;0.8;1.9;9
6;Nickeil Alexander-Walker;SG;24;0;59;3;15;2.2;5;0.444;1;2.7;0.384;1.2;2.3;0.515;0.547;0.7;1;0.667;0.3;1.5;1.7;1.8;0.5;0.4;0.9;1.5;6.2
6;Nickeil Alexander-Walker;SG;24;29;36;3;14.7;2.3;4.7;0.488;1;2.4;0.402;1.3;2.3;0.578;0.591;0.8;1.1;0.692;0.2;1.4;1.6;2.1;0.7;0.4;1.3;1.6;6.3
6;Nickeil Alexander-Walker;SG;24;18;23;0;15.5;2.1;5.4;0.384;1.1;3.1;0.361;1;2.3;0.415;0.488;0.6;0.9;0.619;0.3;1.5;1.8;1.4;0.3;0.3;0.4;1.3;5.9
7;Grayson Allen;SG;27;17;72;70;27.4;3.4;7.7;0.44;2;5.1;0.399;1.4;2.7;0.518;0.571;1.6;1.8;0.905;0.8;2.4;3.3;2.3;0.9;0.2;1;1.6;10.4
8;Jarrett Allen;C;24;6;68;68;32.6;5.9;9.2;0.644;0;0.1;0.1;5.9;9.1;0.653;0.645;2.4;3.3;0.733;3.3;6.5;9.8;1.7;0.8;1.2;1.4;2.3;14.3
9;Jose Alvarado;PG;24;19;61;10;21.5;3.3;8;0.411;1.4;4;0.336;1.9;4;0.488;0.496;1.1;1.3;0.813;0.5;1.9;2.3;3;1.1;0.2;1.3;2;9
10;Kyle Anderson;PF;29;18;69;46;28.4;3.7;7.2;0.509;0.6;1.5;0.41;3;5.7;0.536;0.553;1.4;2;0.735;1;4.4;5.3;4.9;1.1;0.9;1.5;2.1;9.4
11;Giannis Antetokounmpo;PF;28;17;63;63;32.1;11.2;20.3;0.553;0.7;2.7;0.275;10.5;17.6;0.596;0.572;7.9;12.3;0.645;2.2;9.6;11.8;5.7;0.8;0.8;3.9;3.1;31.1
12;Thanasis Antetokounmpo;SF;30;17;37;0;5.6;0.5;1.2;0.435;0;0.2;0;0.5;1;0.526;0.435;0.3;0.6;0.5;0.4;0.8;1.2;0.4;0.1;0.1;0.3;0.6;1.4
13;Cole Anthony;PG;22;22;60;4;25.9;4.6;10.2;0.454;1.3;3.4;0.364;3.4;6.7;0.5;0.516;2.5;2.8;0.894;0.8;4;4.8;3.9;0.6;0.5;1.5;2.6;13
14;OG Anunoby;SF;25;28;67;67;35.6;6.3;13.2;0.476;2.1;5.5;0.387;4.2;7.7;0.539;0.556;2.1;2.5;0.838;1.4;3.5;5;2;1.9;0.7;2;3;16.8
15;Ryan Arcidiacono;PG;28;0;20;4;8.6;0.5;1.9;0.243;0.4;1.2;0.348;0.1;0.7;0.071;0.351;0;0;0;0;0.8;0.8;1.2;0.3;0;0.4;0.9;1.3
15;Ryan Arcidiacono;PG;28;20;11;0;2.4;0.1;0.5;0.2;0.1;0.3;0.333;0;0.2;0;0.3;0;0;0;0;0.4;0.4;0.2;0.2;0;0.1;0.3;0.3
15;Ryan Arcidiacono;PG;28;25;9;4;16.2;0.9;3.6;0.25;0.8;2.2;0.35;0.1;1.3;0.083;0.359;0;0;0;0;1.2;1.2;2.3;0.3;0;0.7;1.6;2.6
16;Deni Avdija;SF;22;30;76;40;26.6;3.3;7.6;0.437;0.9;3.1;0.297;2.4;4.6;0.53;0.497;1.6;2.2;0.739;1;5.4;6.4;2.8;0.9;0.4;1.6;2.8;9.2
17;Deandre Ayton;C;24;24;67;67;30.4;7.8;13.2;0.589;0.1;0.4;0.292;7.7;12.9;0.597;0.592;2.3;3;0.76;2.6;7.4;10;1.7;0.6;0.8;1.8;2.8;18
18;Udoka Azubuike;C;23;29;36;4;10;1.6;2;0.819;0;0;0;1.6;2;0.819;0.819;0.2;0.6;0.35;0.9;2.4;3.3;0.3;0.2;0.4;0.5;0.9;3.5
19;Marvin Bagley III;C;23;9;42;25;23.6;4.8;9.1;0.529;0.5;1.6;0.288;4.4;7.5;0.579;0.554;1.9;2.6;0.75;2.2;4.2;6.4;0.9;0.5;0.7;1.1;1.9;12
20;Patrick Baldwin Jr.;SF;20;10;31;0;7.3;1.4;3.5;0.394;1;2.7;0.381;0.4;0.8;0.44;0.541;0.1;0.2;0.667;0;1.3;1.3;0.4;0.2;0.1;0.4;0.5;3.9
21;LaMelo Ball;PG;21;4;36;36;35.2;8.2;20;0.411;4;10.6;0.376;4.2;9.4;0.45;0.51;2.8;3.4;0.836;1.2;5.3;6.4;8.4;1.3;0.3;3.6;3.3;23.3
22;Mo Bamba;C;24;0;49;7;15.7;2.4;4.9;0.485;1;2.5;0.387;1.4;2.4;0.59;0.585;0.8;1.3;0.661;1.2;3.4;4.6;0.9;0.3;0.9;0.6;2.1;6.6
22;Mo Bamba;C;24;22;40;6;17;2.7;5.4;0.495;1.1;2.7;0.398;1.6;2.7;0.594;0.596;0.9;1.3;0.686;1.2;3.4;4.6;1.1;0.3;1;0.6;2.2;7.3
22;Mo Bamba;C;24;14;9;1;9.8;1.2;3;0.407;0.6;1.8;0.313;0.7;1.2;0.545;0.5;0.7;1.2;0.545;1.2;3.3;4.6;0.4;0.1;0.6;0.9;2.1;3.7
23;Paolo Banchero;PF;20;22;72;72;33.8;6.7;15.6;0.427;1.2;4;0.298;5.5;11.6;0.471;0.465;5.5;7.4;0.738;1.2;5.7;6.9;3.7;0.8;0.5;2.8;2.2;20
24;Desmond Bane;SG;24;15;58;58;31.7;7.8;16.2;0.479;2.9;7;0.408;4.9;9.2;0.534;0.568;3.1;3.5;0.883;0.7;4.3;5;4.4;1;0.4;2.2;2.6;21.5
25;Dalano Banton;PG;23;28;31;2;9;1.8;4.2;0.423;0.5;1.6;0.294;1.3;2.5;0.506;0.481;0.5;0.8;0.708;0.4;1.1;1.5;1.2;0.4;0.4;0.6;1.1;4.6
26;Dominick Barlow;SF;19;27;28;0;14.6;1.6;3.1;0.535;0;0.1;0;1.6;2.9;0.561;0.535;0.6;0.9;0.72;1.6;2;3.6;0.9;0.4;0.7;0.5;2;3.9
27;Harrison Barnes;PF;30;26;82;82;32.5;4.6;9.6;0.473;1.6;4.3;0.374;3;5.3;0.553;0.556;4.3;5;0.847;1.1;3.4;4.5;1.6;0.7;0.1;1;1.3;15
28;Scottie Barnes;PF;21;28;77;76;34.8;6;13.2;0.456;0.8;2.9;0.281;5.2;10.3;0.505;0.487;2.5;3.2;0.772;2.3;4.3;6.6;4.8;1.1;0.8;2;2.2;15.3
29;RJ Barrett;SG;22;20;73;73;33.9;7;16.1;0.434;1.7;5.3;0.31;5.3;10.8;0.495;0.485;4;5.4;0.74;0.8;4.2;5;2.8;0.4;0.2;2.2;2.5;19.6
30;Will Barton;SG;32;0;56;2;17.7;2.5;6.5;0.379;1.2;3.2;0.367;1.3;3.3;0.391;0.47;0.7;0.8;0.787;0.3;2.2;2.4;2;0.5;0.2;0.9;1;6.8
30;Will Barton;SG;32;30;40;0;19.6;2.8;7.1;0.386;1.3;3.5;0.377;1.5;3.7;0.395;0.477;0.9;1.1;0.778;0.3;2.5;2.8;2.4;0.4;0.3;1.1;1;7.7
30;Will Barton;SG;32;28;16;2;13.2;1.8;4.9;0.354;0.9;2.6;0.333;0.9;2.3;0.378;0.443;0.1;0.1;1;0.3;1.3;1.6;1.1;0.7;0.2;0.2;1.1;4.5
31;Charles Bassey;C;22;27;35;2;14.5;2.5;3.9;0.644;0.1;0.2;0.375;2.4;3.6;0.661;0.656;0.6;1.1;0.595;2.1;3.4;5.5;1.3;0.5;0.9;1.2;2.1;5.7
32;Keita Bates-Diop;SF;27;27;67;42;21.7;3.5;6.9;0.508;0.8;2.1;0.394;2.7;4.8;0.557;0.568;1.8;2.2;0.793;1;2.7;3.7;1.5;0.7;0.3;0.8;0.9;9.7
33;Nicolas Batum;PF;34;13;78;19;21.9;2.1;4.9;0.42;1.6;4.1;0.391;0.5;0.8;0.563;0.583;0.4;0.6;0.708;0.8;3;3.8;1.6;0.7;0.6;0.6;1.9;6.1
34;Darius Bazley;PF;22;0;43;1;14.3;1.9;4.3;0.454;0.5;1.2;0.377;1.5;3;0.485;0.508;0.9;1.6;0.543;0.8;2.4;3.2;0.9;0.5;0.8;0.6;1;5.2
34;Darius Bazley;PF;22;21;36;1;15.4;2;4.4;0.449;0.5;1.3;0.4;1.5;3.1;0.469;0.506;1;1.8;0.554;0.8;2.6;3.4;0.9;0.5;0.8;0.6;1;5.4
34;Darius Bazley;PF;22;24;7;0;8.7;1.7;3.6;0.48;0.3;1.1;0.25;1.4;2.4;0.588;0.52;0.3;0.7;0.4;0.7;1.6;2.3;0.9;0.4;0.7;0.7;1.3;4
35;Bradley Beal;SG;29;30;50;50;33.5;8.9;17.6;0.506;1.6;4.4;0.365;7.3;13.2;0.552;0.551;3.8;4.6;0.842;0.8;3.1;3.9;5.4;0.9;0.7;2.9;2.1;23.2
36;Malik Beasley;SG;26;0;81;27;25.8;4.6;11.6;0.395;2.9;8.1;0.357;1.7;3.4;0.484;0.52;0.6;0.8;0.769;0.4;3.1;3.5;1.5;0.8;0.1;1.1;1.3;12.7
36;Malik Beasley;SG;26;29;55;13;26.8;4.8;12.2;0.396;3.1;8.6;0.359;1.7;3.6;0.485;0.522;0.7;0.8;0.841;0.5;3.1;3.6;1.7;0.8;0.1;1.1;1.4;13.4
36;Malik Beasley;SG;26;14;26;14;23.9;4;10.3;0.392;2.5;7.2;0.353;1.5;3.1;0.481;0.515;0.5;0.8;0.619;0.3;3;3.3;1.2;0.8;0;1.2;1.2;11.1
37;MarJon Beauchamp;SF;22;17;52;11;13.5;1.8;4.7;0.395;0.9;2.7;0.331;0.9;1.9;0.485;0.492;0.5;0.7;0.73;0.7;1.5;2.2;0.7;0.4;0.1;0.9;1.4;5.1
38;D?vis Bert?ns;PF;30;7;45;1;10.9;1.5;3.6;0.431;1.2;3.1;0.39;0.3;0.4;0.737;0.603;0.3;0.3;0.867;0.2;1;1.2;0.5;0.2;0.2;0.2;1.2;4.6
39;Patrick Beverley;PG;34;0;67;67;27.1;2.1;5.4;0.4;1.2;3.6;0.335;1;1.8;0.529;0.511;0.7;1;0.723;0.7;3;3.7;2.9;0.9;0.6;0.9;2.8;6.2
39;Patrick Beverley;PG;34;14;45;45;26.9;2.2;5.4;0.402;1.2;3.5;0.348;0.9;1.8;0.506;0.517;0.9;1.1;0.78;0.5;2.6;3.1;2.6;0.9;0.6;0.9;2.8;6.4
39;Patrick Beverley;PG;34;5;22;22;27.5;2.1;5.4;0.395;1.1;3.7;0.309;1;1.7;0.579;0.5;0.4;0.7;0.533;0.9;4;4.9;3.5;1;0.7;0.8;2.9;5.8
40;Saddiq Bey;SF;23;0;77;37;27.6;4.6;10.9;0.422;2;5.4;0.361;2.6;5.4;0.483;0.513;2.7;3.1;0.861;1.3;3.4;4.7;1.5;0.9;0.2;0.9;1.6;13.8
40;Saddiq Bey;SF;23;9;52;30;28.8;4.7;11.7;0.404;1.9;5.6;0.345;2.8;6;0.46;0.488;3.5;4;0.861;1.1;3.5;4.7;1.6;1;0.2;1;1.7;14.8
40;Saddiq Bey;SF;23;1;25;7;25.2;4.3;9.2;0.47;2;5;0.4;2.3;4.2;0.552;0.578;1;1.2;0.862;1.6;3.2;4.8;1.4;0.8;0;0.7;1.5;11.6
41;Khem Birch;C;30;28;20;0;8.1;1;1.6;0.594;0.1;0.1;0.5;0.9;1.5;0.6;0.609;0.2;0.3;0.8;0.4;0.9;1.3;0.4;0.3;0.3;0.4;1.2;2.2
42;Goga Bitadze;C;23;0;38;1;12;1.8;3.3;0.552;0.2;0.7;0.231;1.7;2.6;0.636;0.576;0.6;1.1;0.548;1.6;2;3.6;1;0.4;0.7;0.6;1.7;4.4
42;Goga Bitadze;C;23;12;21;0;9.6;1.3;2.5;0.519;0.2;0.7;0.286;1.1;1.8;0.605;0.558;0.5;1.1;0.458;1.2;1.1;2.3;0.9;0.4;0.5;0.6;1.6;3.3
42;Goga Bitadze;C;23;22;17;1;15;2.5;4.3;0.575;0.1;0.7;0.167;2.4;3.6;0.656;0.589;0.7;1.1;0.667;2.1;3.1;5.2;1.2;0.4;0.9;0.6;1.8;5.8
43;Bismack Biyombo;C;30;24;61;14;14.3;2;3.4;0.578;0;0;0;2;3.4;0.578;0.578;0.4;1.1;0.357;1.5;2.8;4.3;0.9;0.3;1.4;0.8;1.9;4.3
44;Buddy Boeheim;PG;23;9;10;0;9;0.5;2.7;0.185;0.4;2.5;0.16;0.1;0.2;0.5;0.259;0.2;0.2;1;0.2;0.4;0.6;0.4;0.2;0;0;0.6;1.6
45;Bogdan Bogdanovi?;SG;30;1;54;9;27.9;5.1;11.3;0.447;2.7;6.7;0.406;2.4;4.6;0.506;0.566;1.2;1.4;0.831;0.4;2.6;3.1;2.8;0.8;0.3;1.2;1.6;14
46;Bojan Bogdanovi?;PF;33;9;59;59;32.1;7.3;14.9;0.488;2.5;6;0.411;4.8;9;0.539;0.57;4.5;5.1;0.884;0.6;3.2;3.8;2.6;0.6;0.1;2.3;1.9;21.6
47;Bol Bol;PF;23;22;70;33;21.5;3.7;6.8;0.546;0.4;1.6;0.265;3.3;5.2;0.633;0.577;1.2;1.5;0.759;1;4.8;5.8;1;0.4;1.2;1.6;1.3;9.1
48;Leandro Bolmaro;SG;22;29;14;0;4.9;0.2;1.4;0.15;0;0.3;0;0.2;1.1;0.188;0.15;0;0;0;0.3;0.2;0.5;0.5;0.2;0.1;0.5;0.7;0.4
49;Devin Booker;SG;26;24;53;53;34.6;9.9;20.1;0.494;2.1;6;0.351;7.8;14.2;0.554;0.546;5.8;6.8;0.855;0.9;3.7;4.5;5.5;1;0.3;2.7;3;27.8
50;Brandon Boston Jr.;SG;21;13;22;1;11.3;2.3;5.5;0.418;0.5;1.3;0.414;1.8;4.2;0.419;0.467;1.3;1.7;0.763;0.3;1;1.4;0.9;0.4;0;0.5;1;6.5
51;Chris Boucher;PF;30;28;76;0;20;3.4;7;0.493;0.8;2.5;0.328;2.6;4.5;0.585;0.552;1.7;2.2;0.762;2.1;3.5;5.5;0.4;0.6;0.8;0.5;1.9;9.4
52;James Bouknight;SG;22;4;34;0;15.1;2;5.7;0.358;1;3.2;0.303;1.1;2.5;0.429;0.443;0.6;0.9;0.667;0.2;1.9;2.1;1.2;0.4;0.1;0.9;1.4;5.6
53;Jamaree Bouyea;PG;23;0;5;0;14.2;1.2;2.8;0.429;0.4;1.2;0.333;0.8;1.6;0.5;0.5;0.2;0.4;0.5;0.2;1;1.2;0.8;0.8;0.4;0.8;1.2;3
53;Jamaree Bouyea;PG;23;16;4;0;16.3;1.5;3.3;0.462;0.5;1.3;0.4;1;2;0.5;0.538;0.3;0.5;0.5;0.3;1;1.3;1;1;0.5;1;1.3;3.8
53;Jamaree Bouyea;PG;23;30;1;0;6;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
54;Tony Bradley;C;25;5;12;0;2.8;0.5;1;0.5;0.3;0.4;0.6;0.3;0.6;0.429;0.625;0.3;0.3;1;0.1;0.8;0.9;0.1;0.1;0.1;0.1;0.2;1.6
55;Malaki Branham;SF;19;27;66;32;23.5;4.1;9.3;0.44;1.2;3.9;0.302;2.9;5.4;0.539;0.503;0.9;1.1;0.829;0.4;2.3;2.7;1.9;0.5;0.1;1.2;1.7;10.2
56;Jarrell Brantley;PF;26;29;4;0;9.8;2;3.5;0.571;1;2.3;0.444;1;1.3;0.8;0.714;0.5;0.5;1;0.3;1.3;1.5;0.8;0;0.5;0.5;0.8;5.5
57;Christian Braun;SG;21;8;76;6;15.5;1.9;3.8;0.495;0.4;1.3;0.354;1.4;2.5;0.565;0.554;0.5;0.8;0.625;0.6;1.8;2.4;0.8;0.5;0.2;0.5;1.3;4.7
58;Mikal Bridges;SF;26;0;83;83;35.7;7.1;15.3;0.468;2;5.3;0.382;5.1;9.9;0.514;0.535;3.8;4.3;0.895;1;3.4;4.4;3.3;1.1;0.7;1.5;1.9;20.1
58;Mikal Bridges;SF;26;24;56;56;36.4;6.3;13.6;0.463;1.8;4.7;0.387;4.5;9;0.503;0.529;2.8;3.1;0.897;1;3.3;4.3;3.6;1.2;0.8;1.4;2.1;17.2
58;Mikal Bridges;SF;26;3;27;27;34.2;8.9;18.6;0.475;2.5;6.7;0.376;6.3;11.9;0.531;0.543;5.9;6.6;0.894;0.9;3.6;4.5;2.7;1;0.6;1.8;1.6;26.1
59;Oshae Brissett;SF;24;12;65;2;16.7;1.9;4.9;0.386;0.7;2.4;0.31;1.2;2.5;0.457;0.461;1.6;2.2;0.717;1;2.4;3.4;0.7;0.5;0.2;0.5;1.2;6.1
60;Malcolm Brogdon;PG;30;2;67;0;26;5.3;10.9;0.484;2;4.4;0.444;3.3;6.5;0.51;0.574;2.4;2.7;0.87;0.6;3.6;4.2;3.7;0.7;0.3;1.5;1.6;14.9
61;Dillon Brooks;SF;27;15;73;73;30.3;5.4;13.6;0.396;2;6;0.326;3.4;7.6;0.451;0.468;1.6;2.1;0.779;0.6;2.7;3.3;2.6;0.9;0.2;1.4;3.3;14.3
62;Bruce Brown;SG;26;8;80;31;28.5;4.5;9.3;0.483;1.1;3.2;0.358;3.3;6.1;0.548;0.545;1.5;1.9;0.758;0.8;3.3;4.1;3.4;1.1;0.6;1.5;2.4;11.5
63;Greg Brown III;PF;21;25;16;0;5.8;0.7;1.8;0.393;0.1;0.4;0.143;0.6;1.3;0.476;0.411;0.3;0.8;0.417;0.1;1.1;1.2;0.2;0.3;0.3;0.4;0.8;1.8
64;Jaylen Brown;SF;26;2;67;67;35.9;10.1;20.6;0.491;2.4;7.3;0.335;7.7;13.4;0.576;0.55;3.9;5.1;0.765;1.2;5.7;6.9;3.5;1.1;0.4;2.9;2.6;26.6
65;Kendall Brown;SG;19;12;6;0;6.7;0.7;1.2;0.571;0;0.2;0;0.7;1;0.667;0.571;0.2;0.3;0.5;0.3;0.7;1;0.5;0.7;0;0.3;1.5;1.5
66;Moses Brown;C;23;0;36;1;8.2;1.7;2.7;0.635;0;0;0;1.7;2.7;0.635;0.635;0.9;2;0.458;1.6;2.3;3.9;0.1;0.1;0.4;0.4;1.1;4.3
66;Moses Brown;C;23;13;34;1;8.5;1.8;2.8;0.635;0;0;0;1.8;2.8;0.635;0.635;1;2.1;0.458;1.7;2.4;4.1;0.1;0.1;0.4;0.4;1.1;4.6
66;Moses Brown;C;23;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0.5;0.5;0
67;Sterling Brown;SG;27;14;4;0;6;0;1;0;0;0.5;0;0;0.5;0;0;0;0;0;0.8;1.3;2;0.5;0.8;0;0;1;0
68;Troy Brown Jr.;SF;23;14;76;45;24.5;2.6;6.1;0.43;1.4;3.7;0.381;1.2;2.4;0.505;0.545;0.4;0.5;0.872;0.8;3.2;4.1;1.3;0.8;0.2;0.6;1.6;7.1
69;Jalen Brunson;PG;26;20;68;68;35;8.6;17.6;0.491;2;4.7;0.416;6.7;12.8;0.519;0.547;4.8;5.8;0.829;0.6;3;3.5;6.2;0.9;0.2;2.1;2.2;24
70;Thomas Bryant;C;25;0;59;26;18.3;3.9;6.3;0.623;0.4;1;0.441;3.5;5.3;0.658;0.659;1.6;2.1;0.738;1.5;4.3;5.7;0.5;0.3;0.5;0.6;1.7;9.8
70;Thomas Bryant;C;25;14;41;25;21.4;4.8;7.3;0.654;0.5;1.2;0.44;4.3;6.1;0.697;0.691;2;2.6;0.741;1.6;5.2;6.8;0.7;0.3;0.6;0.7;1.9;12.1
70;Thomas Bryant;C;25;8;18;1;11.4;1.8;3.8;0.485;0.2;0.5;0.444;1.6;3.3;0.492;0.515;0.7;1;0.722;1.1;2.3;3.3;0.1;0.1;0.4;0.6;1.4;4.6
71;Reggie Bullock;SF;31;7;78;55;30.3;2.5;6;0.409;1.9;5.1;0.38;0.5;0.9;0.562;0.569;0.3;0.5;0.703;0.4;3.2;3.6;1.4;0.7;0.2;0.5;2.1;7.2
72;Alec Burks;SG;31;9;51;8;22;3.9;9;0.436;1.9;4.7;0.414;2;4.3;0.459;0.544;3;3.7;0.814;0.4;2.7;3.1;2.2;0.7;0.2;1.1;1.9;12.8
73;Deonte Burton;SG;29;26;2;0;3;0;1;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;Jared Butler;SG;22;21;6;1;12.8;2.5;5.3;0.469;1.2;2.3;0.5;1.3;3;0.444;0.578;0;0;0;0.2;0.5;0.7;1.3;0.8;0;0.8;0.8;6.2
75;Jimmy Butler;SF;33;16;64;64;33.4;7.5;13.9;0.539;0.6;1.6;0.35;6.9;12.3;0.564;0.56;7.4;8.7;0.85;2.2;3.7;5.9;5.3;1.8;0.3;1.6;1.3;22.9
76;John Butler;C;20;25;19;1;11.6;0.9;2.8;0.321;0.4;1.8;0.229;0.5;0.9;0.5;0.396;0.2;0.2;0.75;0.2;0.7;0.9;0.6;0.4;0.5;0.1;1.2;2.4
77;Jamal Cain;SF;23;16;18;0;13.3;2.1;3.7;0.561;0.4;1.1;0.35;1.7;2.6;0.652;0.614;0.9;1.2;0.773;0.8;2.1;2.9;0.7;0.6;0.1;0.3;1.2;5.4
78;Kentavious Caldwell-Pope;SG;29;8;76;76;31.3;3.8;8.3;0.462;1.8;4.2;0.423;2.1;4.1;0.502;0.569;1.4;1.6;0.824;0.5;2.3;2.7;2.4;1.5;0.5;1.1;1.9;10.8
79;Facundo Campazzo;PG;31;7;8;0;6.5;0.4;1.6;0.231;0.4;1.4;0.273;0;0.3;0;0.346;0.1;0.3;0.5;0;0.3;0.3;1.1;0.8;0;0.4;0.4;1.3
80;Vlatko ?an?ar;PF;25;8;60;9;14.8;1.8;3.8;0.476;0.7;1.9;0.374;1.1;1.9;0.58;0.57;0.6;0.7;0.927;0.4;1.7;2.1;1.3;0.4;0.2;0.6;1.4;5
81;Clint Capela;C;28;1;65;63;26.6;5.4;8.2;0.653;0;0;0;5.4;8.2;0.654;0.653;1.2;2;0.603;4;7.1;11;0.9;0.7;1.2;0.8;2.1;12
82;Vernon Carey Jr.;C;21;30;11;0;2.5;0.2;0.7;0.25;0;0;0;0.2;0.7;0.25;0.25;0.2;0.2;1;0.3;0.7;1;0.3;0.2;0.2;0.2;0.5;0.5
83;Jevon Carter;PG;27;17;81;39;22.3;3;7;0.423;1.8;4.2;0.421;1.2;2.8;0.425;0.549;0.4;0.5;0.816;0.4;2.1;2.5;2.4;0.8;0.4;1;2;8
84;Wendell Carter Jr.;C;23;22;57;54;29.6;5.6;10.8;0.525;1.4;3.9;0.356;4.2;6.8;0.624;0.591;2.5;3.4;0.738;2.1;6.6;8.7;2.3;0.5;0.6;1.9;2.8;15.2
85;Michael Carter-Williams;PG;31;22;4;0;11;1.5;3.5;0.429;0.3;0.8;0.333;1.3;2.8;0.455;0.464;1;1.8;0.571;0.3;1;1.3;1.8;0.3;0.3;1;1.3;4.3
86;Alex Caruso;PG;28;5;67;36;23.5;1.9;4.3;0.455;0.8;2.3;0.364;1.1;2;0.556;0.551;0.9;1.1;0.808;0.6;2.3;2.9;2.9;1.5;0.7;1.1;2.4;5.6
87;Julian Champagnie;SF;21;0;17;3;18.8;3.5;7.6;0.454;1.9;4.8;0.402;1.5;2.8;0.542;0.581;0.8;1;0.824;0.6;2.9;3.5;0.6;0.4;0.3;0.6;1.5;9.7
