Rk;Player;Pos;Age;Tm;
1;Precious Achiuwa;C;23;28;
2;Steven Adams;C;29;15;
3;Bam Adebayo;C;25;16;
4;Ochai Agbaji;SG;22;29;
5;Santi Aldama;PF;22;15;
6;Nickeil Alexander-Walker;SG;24;0;
6;Nickeil Alexander-Walker;SG;24;29;
6;Nickeil Alexander-Walker;SG;24;18;
7;Grayson Allen;SG;27;17;
8;Jarrett Allen;C;24;6;
9;Jose Alvarado;PG;24;19;
10;Kyle Anderson;PF;29;18;
11;Giannis Antetokounmpo;PF;28;17;
12;Thanasis Antetokounmpo;SF;30;17;
13;Cole Anthony;PG;22;22;
14;OG Anunoby;SF;25;28;
15;Ryan Arcidiacono;PG;28;0;
15;Ryan Arcidiacono;PG;28;20;
15;Ryan Arcidiacono;PG;28;25;
16;Deni Avdija;SF;22;30;
17;Deandre Ayton;C;24;24;
18;Udoka Azubuike;C;23;29;
19;Marvin Bagley III;C;23;9;
20;Patrick Baldwin Jr.;SF;20;10;
21;LaMelo Ball;PG;21;4;
22;Mo Bamba;C;24;0;
22;Mo Bamba;C;24;22;
22;Mo Bamba;C;24;14;
23;Paolo Banchero;PF;20;22;
24;Desmond Bane;SG;24;15;
25;Dalano Banton;PG;23;28;
26;Dominick Barlow;SF;19;27;
27;Harrison Barnes;PF;30;26;
28;Scottie Barnes;PF;21;28;
29;RJ Barrett;SG;22;20;
30;Will Barton;SG;32;0;
30;Will Barton;SG;32;30;
30;Will Barton;SG;32;28;
31;Charles Bassey;C;22;27;
32;Keita Bates-Diop;SF;27;27;
33;Nicolas Batum;PF;34;13;
34;Darius Bazley;PF;22;0;
34;Darius Bazley;PF;22;21;
34;Darius Bazley;PF;22;24;
35;Bradley Beal;SG;29;30;
36;Malik Beasley;SG;26;0;
36;Malik Beasley;SG;26;29;
36;Malik Beasley;SG;26;14;
37;MarJon Beauchamp;SF;22;17;
38;D?vis Bert?ns;PF;30;7;
39;Patrick Beverley;PG;34;0;
39;Patrick Beverley;PG;34;14;
39;Patrick Beverley;PG;34;5;
40;Saddiq Bey;SF;23;0;
40;Saddiq Bey;SF;23;9;
40;Saddiq Bey;SF;23;1;
41;Khem Birch;C;30;28;
42;Goga Bitadze;C;23;0;
42;Goga Bitadze;C;23;12;
42;Goga Bitadze;C;23;22;
43;Bismack Biyombo;C;30;24;
44;Buddy Boeheim;PG;23;9;
45;Bogdan Bogdanovi?;SG;30;1;
46;Bojan Bogdanovi?;PF;33;9;
47;Bol Bol;PF;23;22;
48;Leandro Bolmaro;SG;22;29;
49;Devin Booker;SG;26;24;
50;Brandon Boston Jr.;SG;21;13;
51;Chris Boucher;PF;30;28;
52;James Bouknight;SG;22;4;
53;Jamaree Bouyea;PG;23;0;
53;Jamaree Bouyea;PG;23;16;
53;Jamaree Bouyea;PG;23;30;
54;Tony Bradley;C;25;5;
55;Malaki Branham;SF;19;27;
56;Jarrell Brantley;PF;26;29;
57;Christian Braun;SG;21;8;
58;Mikal Bridges;SF;26;0;
58;Mikal Bridges;SF;26;24;
58;Mikal Bridges;SF;26;3;
59;Oshae Brissett;SF;24;12;
60;Malcolm Brogdon;PG;30;2;
61;Dillon Brooks;SF;27;15;
62;Bruce Brown;SG;26;8;
63;Greg Brown III;PF;21;25;
64;Jaylen Brown;SF;26;2;
65;Kendall Brown;SG;19;12;
66;Moses Brown;C;23;0;
66;Moses Brown;C;23;13;
66;Moses Brown;C;23;3;
67;Sterling Brown;SG;27;14;
68;Troy Brown Jr.;SF;23;14;
69;Jalen Brunson;PG;26;20;
70;Thomas Bryant;C;25;0;
70;Thomas Bryant;C;25;14;
70;Thomas Bryant;C;25;8;
71;Reggie Bullock;SF;31;7;
72;Alec Burks;SG;31;9;
73;Deonte Burton;SG;29;26;
74;Jared Butler;SG;22;21;
75;Jimmy Butler;SF;33;16;
76;John Butler;C;20;25;
77;Jamal Cain;SF;23;16;
78;Kentavious Caldwell-Pope;SG;29;8;
79;Facundo Campazzo;PG;31;7;
80;Vlatko ?an?ar;PF;25;8;
81;Clint Capela;C;28;1;
82;Vernon Carey Jr.;C;21;30;
83;Jevon Carter;PG;27;17;
84;Wendell Carter Jr.;C;23;22;
85;Michael Carter-Williams;PG;31;22;
86;Alex Caruso;PG;28;5;
87;Julian Champagnie;SF;21;0;
87;Julian Champagnie;SF;21;23;
87;Julian Champagnie;SF;21;27;
88;Justin Champagnie;SF;21;0;
88;Justin Champagnie;SF;21;28;
88;Justin Champagnie;SF;21;2;
89;Kennedy Chandler;PG;20;15;
90;Max Christie;SG;19;14;
91;Josh Christopher;SG;21;11;
92;Brandon Clarke;PF;26;15;
93;Jordan Clarkson;SG;30;29;
94;Nic Claxton;C;23;3;
95;Amir Coffey;SG;25;13;
96;John Collins;PF;25;1;
97;Zach Collins;C;25;27;
98;Chance Comanche;C;26;25;
99;Mike Conley;PG;35;0;
99;Mike Conley;PG;35;29;
99;Mike Conley;PG;35;18;
100;Pat Connaughton;SG;30;17;
101;Xavier Cooks;PF;27;30;
102;Robert Covington;PF;32;13;
103;Torrey Craig;SF;32;24;
104;Jae Crowder;SF;32;17;
105;Jarrett Culver;SG;23;1;
106;Cade Cunningham;PG;21;9;
107;Seth Curry;SG;32;3;
108;Stephen Curry;PG;34;10;
109;Dyson Daniels;PG;19;19;
110;Anthony Davis;C;29;14;
111;Johnny Davis;SG;20;30;
112;Terence Davis;SG;25;26;
113;JD Davison;PG;20;2;
114;Darius Days;PF;23;11;
115;Dewayne Dedmon;C;33;0;
115;Dewayne Dedmon;C;33;16;
115;Dewayne Dedmon;C;33;23;
116;Matthew Dellavedova;PG;32;26;
117;DeMar DeRozan;SF;33;5;
118;Moussa Diabat�;PF;21;13;
119;Mamadi Diakite;PF;26;6;
120;Hamidou Diallo;SG;24;9;
121;Gorgui Dieng;C;33;27;
122;Ousmane Dieng;SF;19;21;
123;Spencer Dinwiddie;PG;29;0;
123;Spencer Dinwiddie;PG;29;7;
123;Spencer Dinwiddie;PG;29;3;
124;Donte DiVincenzo;SG;26;10;
125;Luka Don?i?;PG;23;7;
126;Tyler Dorsey;SG;26;7;
127;Luguentz Dort;SG;23;21;
128;Ayo Dosunmu;SG;23;5;
129;Devon Dotson;PG;23;30;
130;Jeff Dowtin;PG;25;28;
131;PJ Dozier;SG;26;26;
132;Goran Dragi?;PG;36;0;
132;Goran Dragi?;PG;36;5;
132;Goran Dragi?;PG;36;17;
133;Andre Drummond;C;29;5;
134;Chris Duarte;SF;25;12;
135;David Duke Jr.;SG;23;3;
136;Kris Dunn;PG;28;29;
137;Kevin Durant;PF-SF;34;0;
137;Kevin Durant;PF;34;3;
137;Kevin Durant;SF;34;24;
138;Jalen Duren;C;19;9;
139;Tari Eason;PF;21;11;
140;Anthony Edwards;SG;21;18;
141;Kessler Edwards;SF;22;0;
141;Kessler Edwards;SF;22;3;
141;Kessler Edwards;SF;22;26;
142;Keon Ellis;SG;23;26;
143;Joel Embiid;C;28;23;
144;Drew Eubanks;C;25;25;
145;Bruno Fernando;C;24;0;
145;Bruno Fernando;C;24;11;
145;Bruno Fernando;C;24;1;
146;Dorian Finney-Smith;PF;29;0;
146;Dorian Finney-Smith;PF;29;7;
146;Dorian Finney-Smith;PF;29;3;
147;Malachi Flynn;PG;24;28;
148;Simone Fontecchio;SF;27;29;
149;Bryn Forbes;SG;29;18;
150;Trent Forrest;PG;24;1;
151;Michael Foster Jr.;PF;20;23;
152;Evan Fournier;SG;30;20;
153;De'Aaron Fox;PG;25;26;
154;Markelle Fultz;PG;24;22;
155;Wenyen Gabriel;PF;25;14;
156;Daniel Gafford;C;24;30;
157;Darius Garland;PG;23;6;
158;Usman Garuba;PF;20;11;
159;Luka Garza;C;24;18;
160;Rudy Gay;PF;36;29;
161;Paul George;SG;32;13;
162;Taj Gibson;C;37;30;
163;Josh Giddey;SG;20;21;
164;Shai Gilgeous-Alexander;PG;24;21;
165;Anthony Gill;PF;30;30;
166;Jacob Gilyard;PG;24;15;
167;Rudy Gobert;C;30;18;
168;Jordan Goodwin;PG;24;30;
169;Aaron Gordon;PF;27;8;
170;Eric Gordon;SG;34;0;
170;Eric Gordon;SG;34;11;
170;Eric Gordon;SG;34;13;
171;Devonte' Graham;PG;27;0;
171;Devonte' Graham;PG;27;19;
171;Devonte' Graham;PG;27;27;
172;Jerami Grant;PF;28;25;
173;RaiQuan Gray;PF;23;3;
174;A.J. Green;SG;23;17;
175;Danny Green;SG;35;0;
175;Danny Green;SG;35;15;
175;Danny Green;SG;35;6;
176;Draymond Green;PF;32;10;
177;Jalen Green;SG;20;11;
178;JaMychal Green;PF;32;10;
179;Javonte Green;SG;29;5;
180;Jeff Green;PF;36;8;
181;Josh Green;SG;22;7;
182;AJ Griffin;SF;19;1;
183;Blake Griffin;C;33;2;
184;Quentin Grimes;SG;22;20;
185;Rui Hachimura;PF;24;0;
185;Rui Hachimura;PF;24;30;
185;Rui Hachimura;PF;24;14;
186;Tyrese Haliburton;PG;22;12;
187;Jordan Hall;SF;21;27;
188;R.J. Hampton;PG;21;0;
188;R.J. Hampton;PG;21;22;
188;R.J. Hampton;PG;21;9;
189;Tim Hardaway Jr.;SG;30;7;
190;James Harden;PG;33;23;
191;Jaden Hardy;SG;20;7;
192;Ron Harper Jr.;SF;22;28;
193;Montrezl Harrell;C;29;23;
194;Gary Harris;SG;28;22;
195;Joe Harris;SG;31;3;
196;Kevon Harris;SG;25;22;
197;Tobias Harris;PF;30;23;
198;Shaquille Harrison;SG;29;25;
199;Josh Hart;SF-SG;27;0;
199;Josh Hart;SF;27;25;
199;Josh Hart;SG;27;20;
200;Isaiah Hartenstein;C;24;20;
201;Udonis Haslem;C;42;16;
202;Sam Hauser;PF;25;2;
203;Jaxson Hayes;C;22;19;
204;Killian Hayes;PG;21;9;
205;Gordon Hayward;SF;32;4;
206;Juancho Hernang�mez;PF;27;28;
207;Willy Hernang�mez;C;28;19;
208;Tyler Herro;SG;23;16;
209;Buddy Hield;SF;30;12;
210;Haywood Highsmith;SF;26;16;
211;George Hill;PG;36;0;
211;George Hill;PG;36;17;
211;George Hill;PG;36;12;
212;Malcolm Hill;SF;27;5;
213;Aaron Holiday;PG;26;1;
214;Jrue Holiday;PG;32;17;
215;Justin Holiday;SG;33;0;
215;Justin Holiday;SG;33;1;
215;Justin Holiday;SG;33;7;
216;Richaun Holmes;C;29;26;
217;Al Horford;C;36;2;
218;Talen Horton-Tucker;SG;22;29;
219;Danuel House Jr.;SF;29;23;
220;Caleb Houstan;SF;20;22;
221;Trevor Hudgins;PG;23;11;
222;Kevin Huerter;SG;24;26;
223;Jay Huff;C;24;30;
224;De'Andre Hunter;SF;25;1;
225;Bones Hyland;PG;22;0;
225;Bones Hyland;PG;22;8;
225;Bones Hyland;PG;22;13;
226;Serge Ibaka;C;33;17;
227;Andre Iguodala;SF;39;10;
228;Joe Ingles;SF;35;17;
229;Brandon Ingram;SF;25;19;
230;Kyrie Irving;PG;30;0;
230;Kyrie Irving;PG;30;3;
230;Kyrie Irving;PG;30;7;
231;Jonathan Isaac;PF;25;22;
232;Jaden Ivey;SG;20;9;
233;Frank Jackson;PG;24;29;
234;Isaiah Jackson;C;21;12;
235;Jaren Jackson Jr.;C;23;15;
236;Justin Jackson;SF;27;2;
237;Quenton Jackson;PG;24;30;
238;Reggie Jackson;PG;32;0;
238;Reggie Jackson;PG;32;13;
238;Reggie Jackson;PG;32;8;
239;LeBron James;PF;38;14;
240;Ty Jerome;SG;25;10;
241;Isaiah Joe;SG;23;21;
242;Alize Johnson;PF;26;27;
243;Cameron Johnson;PF;26;0;
243;Cameron Johnson;PF;26;24;
243;Cameron Johnson;PF;26;3;
244;Jalen Johnson;SF;21;1;
245;James Johnson;PF;35;12;
246;Keldon Johnson;SF;23;27;
247;Keon Johnson;SG;20;25;
248;Stanley Johnson;SF;26;27;
249;Nikola Joki?;C;27;8;
250;Carlik Jones;PG;25;5;
251;Damian Jones;C;27;0;
251;Damian Jones;C;27;14;
251;Damian Jones;C;27;29;
252;Derrick Jones Jr.;SF;25;5;
253;Herbert Jones;SF;24;19;
254;Kai Jones;C;22;4;
255;Tre Jones;PG;23;27;
256;Tyus Jones;PG;26;15;
257;DeAndre Jordan;C;34;8;
258;Cory Joseph;PG;31;9;
259;Nikola Jovi?;PF;19;16;
260;Johnny Juzang;SF;21;29;
261;Mfiondu Kabengele;PF;25;2;
262;Frank Kaminsky;C;29;0;
262;Frank Kaminsky;C;29;1;
262;Frank Kaminsky;C;29;11;
263;Trevor Keels;SG;19;20;
264;Luke Kennard;SG;26;0;
264;Luke Kennard;SG;26;13;
264;Luke Kennard;SG;26;15;
265;Walker Kessler;C;21;29;
266;Braxton Key;SF;25;9;
267;Louis King;SF;23;23;
268;Corey Kispert;SF;23;30;
269;Maxi Kleber;C;31;7;
270;Nathan Knight;PF;25;18;
271;Kevin Knox;PF-SF;23;0;
271;Kevin Knox;PF;23;9;
271;Kevin Knox;SF;23;25;
272;Christian Koloko;C;22;28;
273;John Konchar;SG;26;15;
274;Furkan Korkmaz;SG;25;23;
275;Luke Kornet;C;27;2;
276;Vit Krejci;PG;22;1;
277;Jonathan Kuminga;PF;20;10;
278;Kyle Kuzma;PF;27;30;
279;Anthony Lamb;SF;25;10;
280;Jock Landale;C;27;24;
281;Romeo Langford;SG;23;27;
282;Jake LaRavia;PF;21;15;
283;Zach LaVine;SG;27;5;
284;A.J. Lawson;SG;22;0;
284;A.J. Lawson;SG;22;18;
284;A.J. Lawson;SG;22;7;
285;Damion Lee;SG;30;24;
286;Saben Lee;PG;23;0;
286;Saben Lee;PG;23;23;
286;Saben Lee;PG;23;24;
287;Alex Len;C;29;26;
288;Kawhi Leonard;SF;31;13;
289;Meyers Leonard;C;30;17;
290;Caris LeVert;SG;28;6;
291;Kira Lewis Jr.;PG;21;19;
292;Damian Lillard;PG;32;25;
293;Nassir Little;SF;22;25;
294;Isaiah Livers;PF;24;9;
295;Kenneth Lofton Jr.;PF;20;15;
296;Kevon Looney;C;26;10;
297;Brook Lopez;C;34;17;
298;Robin Lopez;C;34;6;
299;Kevin Love;PF;34;0;
299;Kevin Love;PF;34;6;
299;Kevin Love;PF;34;16;
300;Kyle Lowry;PG;36;16;
301;Trey Lyles;PF;27;26;
302;Th�o Maledon;PG;21;4;
303;Sandro Mamukelashvili;C;23;0;
303;Sandro Mamukelashvili;C;23;17;
303;Sandro Mamukelashvili;C;23;27;
304;Terance Mann;SG;26;13;
305;Tre Mann;PG;21;21;
306;Boban Marjanovi?;C;34;11;
307;Lauri Markkanen;SF;25;29;
308;Naji Marshall;SF;25;19;
309;Caleb Martin;PF;27;16;
310;Cody Martin;SF;27;4;
311;Kenyon Martin Jr.;SF;22;11;
312;Tyrese Martin;SG;23;1;
313;Garrison Mathews;SG;26;0;
313;Garrison Mathews;SG;26;11;
313;Garrison Mathews;SG;26;1;
314;Bennedict Mathurin;SF;20;12;
315;Wesley Matthews;SG;36;17;
316;Tyrese Maxey;SG;22;23;
317;Skylar Mays;SG;25;25;
318;Miles McBride;PG;22;20;
319;Mac McClung;SG;24;23;
320;CJ McCollum;SG;31;19;
321;T.J. McConnell;PG;30;12;
322;Jaden McDaniels;SF;22;18;
323;Jalen McDaniels;SF;25;0;
323;Jalen McDaniels;SF;25;4;
323;Jalen McDaniels;SF;25;23;
324;Doug McDermott;SF;31;27;
325;JaVale McGee;C;35;7;
326;Bryce McGowens;SG;20;4;
327;Rodney McGruder;SG;31;9;
328;Jordan McLaughlin;PG;26;18;
329;De'Anthony Melton;PG;24;23;
330;Sam Merrill;SG;26;6;
331;Chimezie Metu;C;25;26;
332;Khris Middleton;SF;31;17;
333;Patty Mills;PG;34;3;
334;Shake Milton;SG;26;23;
335;Justin Minaya;SF;23;25;
336;Josh Minott;SF;20;18;
337;Davion Mitchell;PG;24;26;
338;Donovan Mitchell;SG;26;6;
339;Evan Mobley;PF;21;6;
340;Isaiah Mobley;PF;23;6;
341;Chima Moneke;SF;27;26;
342;Malik Monk;SG;24;26;
343;Moses Moody;SG;20;10;
344;Xavier Moon;SG;28;13;
345;Wendell Moore Jr.;SG;21;18;
346;Ja Morant;PG;23;15;
347;Marcus Morris;PF;33;13;
348;Markieff Morris;PF;33;0;
348;Markieff Morris;PF;33;3;
348;Markieff Morris;PF;33;7;
349;Monte Morris;PG;27;30;
350;Trey Murphy III;SF;22;19;
351;Dejounte Murray;SG;26;1;
352;Jamal Murray;PG;25;8;
353;Keegan Murray;SF;22;26;
354;Mike Muscala;C;31;0;
354;Mike Muscala;C;31;21;
354;Mike Muscala;C;31;2;
355;Svi Mykhailiuk;SF;25;0;
355;Svi Mykhailiuk;SF;25;20;
355;Svi Mykhailiuk;SF;25;4;
356;Larry Nance Jr.;PF;30;19;
357;Andrew Nembhard;SG;23;12;
358;Aaron Nesmith;SF;23;12;
359;Raul Neto;PG;30;6;
360;Georges Niang;PF;29;23;
361;Daishen Nix;PG;20;11;
362;Zeke Nnaji;PF;22;8;
363;Nerlens Noel;C;28;0;
363;Nerlens Noel;C;28;9;
363;Nerlens Noel;C;28;3;
364;Jaylen Nowell;SG;23;18;
365;Frank Ntilikina;PG;24;7;
366;Kendrick Nunn;SG-PG;27;0;
366;Kendrick Nunn;SG;27;14;
366;Kendrick Nunn;PG;27;30;
367;Jusuf Nurki?;C;28;25;
368;Jordan Nwora;SF;24;0;
368;Jordan Nwora;SF;24;17;
368;Jordan Nwora;SF;24;12;
369;Royce O'Neale;SF;29;3;
370;Chuma Okeke;SF;24;22;
371;Josh Okogie;SG;24;24;
372;Onyeka Okongwu;C;22;1;
373;Isaac Okoro;SF;22;6;
374;KZ Okpala;PF;23;26;
375;Victor Oladipo;SG;30;16;
376;Kelly Olynyk;C;31;29;
377;Eugene Omoruyi;SF;25;0;
377;Eugene Omoruyi;SF;25;21;
377;Eugene Omoruyi;SF;25;9;
378;Cedi Osman;SF;27;6;
379;Kelly Oubre Jr.;SF;27;4;
380;Chris Paul;PG;37;24;
381;Cameron Payne;PG;28;24;
382;Gary Payton II;PG;30;0;
382;Gary Payton II;PG;30;25;
382;Gary Payton II;PG;30;10;
383;Theo Pinson;SG;27;7;
384;Scotty Pippen Jr.;PG;22;14;
385;Mason Plumlee;C;32;0;
385;Mason Plumlee;C;32;4;
385;Mason Plumlee;C;32;13;
386;Jakob Poeltl;C;27;0;
386;Jakob Poeltl;C;27;27;
386;Jakob Poeltl;C;27;28;
387;Aleksej Pokusevski;PF;21;21;
388;Jordan Poole;PG;23;10;
389;Kevin Porter Jr.;PG;22;11;
390;Michael Porter Jr.;SF;24;8;
391;Otto Porter Jr.;SF;29;28;
392;Bobby Portis;PF;27;17;
393;Kristaps Porzi??is;C;27;30;
394;Micah Potter;PF;24;29;
395;Dwight Powell;C;31;7;
396;Norman Powell;SG;29;13;
397;Jason Preston;PG;23;13;
398;Joshua Primo;SG;20;27;
399;Taurean Prince;SF;28;18;
400;Payton Pritchard;PG;25;2;
401;Trevelin Queen;SG;25;12;
402;Neemias Queta;C;23;26;
403;Immanuel Quickley;PG;23;20;
404;Lester Quinones;SG;22;10;
405;Julius Randle;PF;28;20;
406;Austin Reaves;SG;24;14;
407;Cam Reddish;SF;23;0;
407;Cam Reddish;SF;23;20;
407;Cam Reddish;SF;23;25;
408;Davon Reed;SG;27;0;
408;Davon Reed;SG;27;8;
408;Davon Reed;SG;27;14;
409;Paul Reed;C;23;23;
410;Naz Reid;C;23;18;
411;Jared Rhoden;SG;23;9;
412;Nick Richards;C;25;4;
413;Josh Richardson;SG;29;0;
413;Josh Richardson;SG;29;27;
413;Josh Richardson;SG;29;19;
414;Austin Rivers;SG;30;18;
415;Duncan Robinson;SF;28;16;
416;Mitchell Robinson;C;24;20;
417;Orlando Robinson;C;22;16;
418;Jeremiah Robinson-Earl;PF;22;21;
419;Isaiah Roby;PF;24;27;
420;David Roddy;PF;21;15;
421;Ryan Rollins;PG;20;10;
422;Derrick Rose;PG;34;20;
423;Terrence Ross;SG;31;0;
423;Terrence Ross;SG;31;22;
423;Terrence Ross;SG;31;24;
424;Terry Rozier;SG;28;4;
425;Ricky Rubio;PG;32;6;
426;D'Angelo Russell;PG;26;0;
426;D'Angelo Russell;PG;26;18;
426;D'Angelo Russell;PG;26;14;
427;Matt Ryan;SF;25;0;
427;Matt Ryan;SF;25;14;
427;Matt Ryan;SF;25;18;
428;Domantas Sabonis;C;26;26;
429;Luka �amani?;PF;23;29;
430;Dario �ari?;PF;28;0;
430;Dario �ari?;PF;28;24;
430;Dario �ari?;PF;28;21;
431;Olivier Sarr;C;23;21;
432;Jordan Schakel;SF;24;30;
433;Admiral Schofield;PF;25;22;
434;Dennis Schr�der;PG;29;14;
435;Jay Scrubb;SG;22;22;
436;Dereon Seabron;SG;22;19;
437;Alperen �eng�n;C;20;11;
438;Collin Sexton;SG;24;29;
439;Landry Shamet;SG;25;24;
440;Day'Ron Sharpe;C;21;3;
441;Shaedon Sharpe;SG;19;25;
442;Pascal Siakam;C;28;28;
443;Chris Silva;PF;26;7;
444;Ben Simmons;PG;26;3;
445;Kobi Simmons;PG;25;4;
446;Marko Simonovic;C;23;5;
447;Anfernee Simons;SG;23;25;
448;Jericho Sims;C;24;20;
449;Marcus Smart;PG;28;2;
450;Dennis Smith Jr.;PG;25;4;
451;Dru Smith;SG;25;0;
451;Dru Smith;SG;25;16;
451;Dru Smith;SG;25;3;
452;Ish Smith;PG;34;8;
453;Jabari Smith Jr.;PF;19;11;
454;Jalen Smith;PF;22;12;
455;Xavier Sneed;SF;25;4;
456;Jeremy Sochan;PF;19;27;
457;Jaden Springer;SG;20;23;
458;Lamar Stevens;PF;25;6;
459;Isaiah Stewart;C;21;9;
460;Max Strus;SF;26;16;
461;Jalen Suggs;PG;21;22;
462;Edmond Sumner;SG;27;3;
463;Cole Swider;SF;23;14;
464;Jae'Sean Tate;SF;27;11;
465;Jayson Tatum;PF;24;2;
466;Terry Taylor;PF;23;0;
466;Terry Taylor;PF;23;12;
466;Terry Taylor;PF;23;5;
467;Garrett Temple;SG;36;19;
468;Dalen Terry;SG;20;5;
469;Daniel Theis;C;30;12;
470;Cam Thomas;SG;21;3;
471;Klay Thompson;SG;32;10;
472;JT Thor;PF;20;4;
473;Matisse Thybulle;SG;25;0;
473;Matisse Thybulle;SG;25;23;
473;Matisse Thybulle;SG;25;25;
474;Xavier Tillman Sr.;PF;24;15;
475;Isaiah Todd;PF;21;30;
476;Obi Toppin;PF;24;20;
477;Juan Toscano-Anderson;SF;29;0;
477;Juan Toscano-Anderson;SF;29;14;
477;Juan Toscano-Anderson;SF;29;29;
478;Karl-Anthony Towns;PF;27;18;
479;Gary Trent Jr.;SG;24;28;
480;P.J. Tucker;PF;37;23;
481;Myles Turner;C;26;12;
482;Stanley Umude;SG;23;9;
483;Jonas Valan?i?nas;C;30;19;
484;Jarred Vanderbilt;PF;23;0;
484;Jarred Vanderbilt;PF;23;29;
484;Jarred Vanderbilt;PF;23;14;
485;Fred VanVleet;PG;28;28;
486;Devin Vassell;SG;22;27;
487;Gabe Vincent;PG;26;16;
488;Noah Vonleh;C;27;2;
489;Nikola Vu?evi?;C;32;5;
490;Dean Wade;PF;26;6;
491;Franz Wagner;SF;21;22;
492;Moritz Wagner;C;25;22;
493;Ish Wainright;SF;28;24;
494;Jabari Walker;SF;20;25;
495;Kemba Walker;PG;32;7;
496;Lonnie Walker IV;SG;24;14;
497;John Wall;PG;32;13;
498;T.J. Warren;PF-SF;29;0;
498;T.J. Warren;PF;29;3;
498;T.J. Warren;SF;29;24;
499;Duane Washington Jr.;SG;22;24;
500;P.J. Washington;PF;24;4;
501;TyTy Washington Jr.;PG;21;11;
502;Yuta Watanabe;SF;28;3;
503;Lindy Waters III;SG;25;21;
504;Trendon Watford;PF;22;25;
505;Peyton Watson;SG;20;8;
506;Blake Wesley;SG;19;27;
507;Russell Westbrook;PG;34;0;
507;Russell Westbrook;PG;34;14;
507;Russell Westbrook;PG;34;13;
508;Coby White;SG;22;5;
509;Derrick White;SG;28;2;
510;Jack White;SF;25;8;
511;Joe Wieskamp;SF;23;28;
512;Aaron Wiggins;SG;24;21;
513;Andrew Wiggins;SF;27;10;
514;Lindell Wigginton;PG;24;17;
515;Alondes Williams;SG;23;3;
516;Donovan Williams;SG;21;1;
517;Grant Williams;PF;24;2;
518;Jalen Williams;SG;21;21;
519;Jaylin Williams;PF;20;21;
520;Jeenathan Williams;SG;23;25;
521;Kenrich Williams;PF;28;21;
522;Mark Williams;C;21;4;
523;Patrick Williams;PF;21;5;
524;Robert Williams;C;25;2;
525;Vince Williams Jr.;SG;22;15;
526;Ziaire Williams;SF;21;15;
527;Zion Williamson;PF;22;19;
528;Dylan Windler;SF;26;6;
529;Justise Winslow;SF;26;25;
530;James Wiseman;C;21;0;
530;James Wiseman;C;21;10;
530;James Wiseman;C;21;9;
531;Christian Wood;C;27;7;
532;Delon Wright;PG;30;30;
533;McKinley Wright IV;PG;24;7;
534;Gabe York;SG;29;12;
535;Thaddeus Young;PF;34;28;
536;Trae Young;PG;24;1;
537;Omer Yurtseven;C;24;16;
538;Cody Zeller;C;30;16;
539;Ivica Zubac;C;25;13;
